提交者会员号	customer_no
签名方式	sign_type
签名数据	sign_data
加密方式	encrypt_type
密文数据	encrypt_data
请求时间	request_datetime
协议号	agreement_no
商户订单流水号	out_trade_no
商户账户号	merchant_no
业务订单流水号	biz_trade_no
订单交易金额	trade_amount
币种	trade_currency
json字符串	buyer_info
服务器通知地址	notify_url
交易回传参数	return_params
订单摘要	trade_subject
商户售卖的商品分类码	category_code
扩展参数	extend_params
证件号	payee_id_no
证件类型	payee_id_type
手机号	payee_mobile
用户姓名	payee_account_name
用户卡号	payee_account_no
卡类型	payee_card_type
银行编码	payee_bank_code
有效期	card_exp
账户类型	payee_account_type
支付工具	pay_tool
交易过期关单时间	trade_expiry
